"序号","标题","发布日期","来源网站","网址","来源栏目","证据类型","结构线索摘录","正文验证","正文验证说明","采集说明"
"1","沙湾市人民政府2026年第八次常务会会议纪要","2026-05-19","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_42340","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"2","沙湾市人民政府2026年第七次常务会会议纪要","2026-04-24","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_42253","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"3","沙湾市人民政府2026年第四次常务会会议纪要","2026-03-17","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_42341","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"4","沙湾市人民政府2026年第三次常务会会议纪要","2026-02-26","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_41727","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"5","沙湾市人民政府2026年第二次常务会会议纪要","2026-01-30","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_41511","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"6","沙湾市人民政府2026年第一次常务会会议纪要","2026-01-19","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_41510","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"7","沙湾市人民政府2025年第十三次常务会议纪要","2025-11-12","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_41107","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"8","沙湾市人民政府2025年第十二次常务会议纪要","2025-11-05","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_41106","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"9","沙湾市人民政府2025年第十一次常务会议纪要","2025-09-26","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_40505","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"10","沙湾市人民政府2025年第十次常务会议纪要","2025-09-18","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_40504","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"11","裕民县人民政府2025年度第二十一次常务会会议纪要","2025-09-04","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_3479","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
